,RequirementText,Class,cleaned_text,label
400,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,SE,all credit card information will be secured on the server  and only accessible by authorized izogn administrators  information will be encrypted in the database,5
401,The website shall be available for use 24 hours per day  365 days per year.,Other,the website shall be available for use 24 hours per day  365 days per year,3
249,The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.,F,the system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined,0
413,We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,O,we must be able to interface with the following browsers ie 5x  60  netscape 6x  7x  8x and firefox 10,2
210,The appearance of the product shall appear professional,LF,the appearance of the product shall appear professional,1
16,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,F,the bottom 34 of the table will hold events that occur according to its relevance to current time,0
477,The leads washing functionality will validate all leads received by the web service for valid data,F,the leads washing functionality will validate all leads received by the web service for valid data,0
541,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,F,when a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players,0
508,The product shall allow a user to remove himself or herself from the list of players at any time.,F,the product shall allow a user to remove himself or herself from the list of players at any time,0
193,The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,F,the disputes system shall accurately provide a list of possible reason codes for a given transaction  the list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the disputes system,0
448,Website shall request  and authorize credit card payment before allowing a user to stream a movie.,F,website shall request  and authorize credit card payment before allowing a user to stream a movie,0
299,The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,O,the product must be able to interface with any html browser  the product shall transmit data between the user and the product without problems the product shall display html properly in 80 of all html browsers tested minimum is to test 8 browsers,2
493,When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,LF,when the offensive player takes a shot  the product shall simulate the sound of a ship at sea,1
319,The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,SE,the product shall have the ability to receive automatic software updates as new threats emerge  100 of customers will be able to receive automatic software updates transmitted to the installed product,5
4,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,US,if projected  the data must be understandable on a 10x10 projection screen  90 of viewers must be able to determine that events or activities are occuring in current time from a viewing distance of 100,6
12,The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table,F,the display shall have two regions  left 23 of the display is graphical  right 13 of the display is a data table,0
175,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,Other,all business rules specified in the disputes system shall be in compliance to the guidelines of regulation e and regulation z,3
607,The application shall have a downtime of at most 10 minutes per year.,Other,the application shall have a downtime of at most 10 minutes per year,3
228,The product shall be supported using the corporate support center.,O,the product shall be supported using the corporate support center,2
316,The product shall ensure that the database's data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,SE,the product shall ensure that the databases data corresponds to the data entered by the user  each conference room reservation in the system will contain the same information as was entered by the user,5
474,The vendor will verify the invalid lead.,F,the vendor will verify the invalid lead,0
367,PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,F,pme subsystem shall allow building product menus based on the list of products kept in the accounting system,0
398,When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.),PE,when streaming a movie  the buffering time should take no longer than 10 seconds plus any latency on the users connection,4
30,The system shall have a professional appearance,LF,the system shall have a professional appearance,1
392,The product shall retain the customer's buying preferences and information.,US,the product shall retain the customers buying preferences and information,6
67,The product shall allow the user to save the property search results.,F,the product shall allow the user to save the property search results,0
481,If the leads score falls within the low average then it will be returned to the supplying vendor,F,if the leads score falls within the low average then it will be returned to the supplying vendor,0
51,The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.,US,the product shall be installed by an untrained realtor   without recourse to separatelyprinted instructions,6
150,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,US,the list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status,6
184,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,F,the disputes system must allow the users to select disputable transactions based on the age of the transaction from a user interface and initiate a dispute ticket retrieval request or chargeback notification on the selected transaction,0
574,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,Other,the product shall operate with every platformthe product shall accommodate any new technology without any change in its architecture,3
114,A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.,F,a clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs,0
7,The product shall respond fast to keep up-to-date data in the display.,PE,the product shall respond fast to keep uptodate data in the display,4
424,The product shall be able to be installed in the specified environment within 1 working day.,O,the product shall be able to be installed in the specified environment within 1 working day,2
119,The report of needed classes shall include (but not be limited to) classes to be offered  number of sections needed  number of labs needed  and room types needed.,F,the report of needed classes shall include but not be limited to classes to be offered  number of sections needed  number of labs needed  and room types needed,0
159,The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,O,the disputes applications shall interface with the merchant information database  the merchant information database provides detailed information with regard to the merchant all merchant detail information shall be obtained from the merchant information database,2
318,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,Other,the product andor dependent databasesfilesystems shall remain operational as a result of the input of malicious data  the product andor dependent databasesfilesystems shall not crash 100 of the time that malicious data is input into the product,3
168,If a user account is revoked  it can only be re-instantiated by the System Administrator.,SE,if a user account is revoked  it can only be reinstantiated by the system administrator,5
177,All actions that modify an existing dispute case must be recorded in the case history.,Other,all actions that modify an existing dispute case must be recorded in the case history,3
537,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player's ships  which had not been previously marked as sunk.,F,the product shall end a game when a hit by the offensive player results in sinking the last of the defensive players ships  which had not been previously marked as sunk,0
331,The product shall be able to store new room equipment.,F,the product shall be able to store new room equipment,0
560,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),US,the product shall provide portalsthe product shall help system administrators to analyze the transactions with adhoc reporting and kpis key performance indicators,6
310,The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,Other,the customer shall be able to easily integrate new building maps with the product throughout the products lifecycle  integration of new maps with the product shall be possible with little to no support from product support staff,3
489,The leads washing functionality shall receive a period list of available reps from the enterprise system.,F,the leads washing functionality shall receive a period list of available reps from the enterprise system,0
478,The leads washing functionality will insert all leads captured by the web service.,F,the leads washing functionality will insert all leads captured by the web service,0
217,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,PE,the search for the preferred repair facility shall take no longer than 8 seconds  the preferred repair facility is returned within 8 seconds,4
125,Program Administrators and Nursing Staff Members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.,F,program administrators and nursing staff members shall be able to add a student who has registered for a clinical class to a clinical lab section for that class,0
393,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,US,the product shall be easy for customers with novice skills on the  internet to purchase and watch streaming movies  customers should be able to purchase and watch a predetermined movie in under 3 minutes,6
