,RequirementText,Class,cleaned_text,label
383,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,PE,system shall let administrators generate unique prepaid pins in under 2 minutes and generate an excel file with the generated pins,4
384,The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,LF,the website shall be attractive to all audiences  the website shall appear to be fun and the colors should be bright and vibrant,1
385,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,LF,the website should have an african feel  but should not alienate nonafricans  the website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up,1
386,The website design should be modern  clean  and concise.,LF,the website design should be modern  clean  and concise,1
387,The product should be able to be used by 90% of novice users on the Internet.,US,the product should be able to be used by 90 of novice users on the internet,6
388,Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,US,users should only have to navigate through a maximum of 4 pages  to create an account with the website,6
389,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,US,users should be able to access their streaming movies in under 2 clicks after logging into the website,6
390,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,US,an anonymous survey will show that 70 of customers are comfortable purchasing streaming movies after 2 weeks using the website,6
391,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,US,an anonymous survey will show that 95 of customers are comfortable using and purchasing prepaid cards after a month of using the system,6
392,The product shall retain the customer's buying preferences and information.,US,the product shall retain the customers buying preferences and information,6
393,The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,US,the product shall be easy for customers with novice skills on the  internet to purchase and watch streaming movies  customers should be able to purchase and watch a predetermined movie in under 3 minutes,6
394,The product shall use symbols and words that are naturally understandable by users familiar with websites,US,the product shall use symbols and words that are naturally understandable by users familiar with websites,6
395,The website will use standard Internet conventions when interacting with the user.,US,the website will use standard internet conventions when interacting with the user,6
396,Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,PE,any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below,4
397,When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,PE,when purchasing a streaming movie or prepaid card via credit card  the processing time should have a maximum response time of 15 seconds,4
398,When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.),PE,when streaming a movie  the buffering time should take no longer than 10 seconds plus any latency on the users connection,4
399,While streaming a movie  buffering should only occur if there is latency in the user's connection.,PE,while streaming a movie  buffering should only occur if there is latency in the users connection,4
400,All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,SE,all credit card information will be secured on the server  and only accessible by authorized izogn administrators  information will be encrypted in the database,5
401,The website shall be available for use 24 hours per day  365 days per year.,Other,the website shall be available for use 24 hours per day  365 days per year,3
402,The website shall achieve 99.5% up time.,Other,the website shall achieve 995 up time,3
403,All movies shall be streamed on demand  at any time of the day.,Other,all movies shall be streamed on demand  at any time of the day,3
404,The website shall continue to operate if the streaming server goes down.,Other,the website shall continue to operate if the streaming server goes down,3
405,The website shall continue to operate if the payment gateway goes down.,Other,the website shall continue to operate if the payment gateway goes down,3
406,The streaming server will support 50 simultaneous streaming connections.,Other,the streaming server will support 50 simultaneous streaming connections,3
407,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,Other,the streaming server will support a maximum of 700 movies new servers can be added to support more movies,3
408,The server will support a maximum of 1 000 simultaneous users.,Other,the server will support a maximum of 1 000 simultaneous users,3
409,The website shall be capable of supporting 100 000 customers.,Other,the website shall be capable of supporting 100 000 customers,3
410,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,Other,the product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years,3
411,All aspects of the website shall be accessed by a web browser over the Internet.,O,all aspects of the website shall be accessed by a web browser over the internet,2
412,The same hardware supporting the current website will be used to support the new system.,O,the same hardware supporting the current website will be used to support the new system,2
413,We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,O,we must be able to interface with the following browsers ie 5x  60  netscape 6x  7x  8x and firefox 10,2
414,Website must interface with the CyberSource API to process credit card transactions.,O,website must interface with the cybersource api to process credit card transactions,2
415,Website must be fully operational with MSN TV2.,O,website must be fully operational with msn tv2,2
416,Movies shall be encoded and streamed via Windows Media Player 9.0.,O,movies shall be encoded and streamed via windows media player 90,2
417,Movies shall be encoded for 56k and 256k streams.,O,movies shall be encoded for 56k and 256k streams,2
418,Promotional updates to the website should take a day to update.,Other,promotional updates to the website should take a day to update,3
419,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PE,izogn administrator must be able to update the category listings on the website within 2 minutes,4
420,Izogn Administrator must be able to add new products to the website within 2 minutes.,PE,izogn administrator must be able to add new products to the website within 2 minutes,4
421,The system will provide a 24 hour 800 toll free number for support to its customers.,Other,the system will provide a 24 hour 800 toll free number for support to its customers,3
422,The website will provide a help section with answers and solutions to common problems.,US,the website will provide a help section with answers and solutions to common problems,6
423,Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,Other,velkat staff will be available for phone support between 7am7pm  mf to provide technical support to the izogn administrators,3
424,The product shall be able to be installed in the specified environment within 1 working day.,O,the product shall be able to be installed in the specified environment within 1 working day,2
425,Only registered customers can purchase streaming movies.,SE,only registered customers can purchase streaming movies,5
426,A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,SE,a customer can only stream a movie if they purchased it  and are within the 2 day viewing period,5
427,Only authorized personnel can access customer records in the database.,SE,only authorized personnel can access customer records in the database,5
428,Only administrators can activate a pre-paid card.,SE,only administrators can activate a prepaid card,5
429,Only authorized personnel can access sales information.,SE,only authorized personnel can access sales information,5
430,The website shall prevent its data from being corrupted when incorrect data is entered in.,SE,the website shall prevent its data from being corrupted when incorrect data is entered in,5
431,The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,SE,the website shall protect itself from intentional abuse  and notify the administrator at all occurrences,5
432,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,SE,data integrity scripts will be run on a weekly basis to verify the integrity of the database,5
433,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,SE,the website shall make its user aware of its information practices before collection data from them via a privacy policy  accessible on all pages of the website,5
434,The system shall notify customers of changes to its information policy.,SE,the system shall notify customers of changes to its information policy,5
435,The system shall reveal private information only in compliance with the organization's information policy.,SE,the system shall reveal private information only in compliance with the organizations information policy,5
436,All customer information will be stored on a secure database  accessible only to authorized personnel.,SE,all customer information will be stored on a secure database  accessible only to authorized personnel,5
437,All credit card information will be encrypted in the database.,SE,all credit card information will be encrypted in the database,5
438,The streaming server will have anti-virus software to prevent infection of malicious viruses.,SE,the streaming server will have antivirus software to prevent infection of malicious viruses,5
439,The website should cater to all tribes in Nigeria.,LF,the website should cater to all tribes in nigeria,1
440,The website shall not be offensive to religious or ethnic groups.,LF,the website shall not be offensive to religious or ethnic groups,1
441,The website should appeal to all Africans  not only Nigerians.,LF,the website should appeal to all africans  not only nigerians,1
442,The website should use Flash to provide animation on the home page.,O,the website should use flash to provide animation on the home page,2
443,IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,Other,izognmovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream african movies,3
444,The website will comply with W3C standards.,Other,the website will comply with w3c standards,3
445,The PHP code will comply with PEAR standards.,Other,the php code will comply with pear standards,3
446,The website will allow customers to search for movies by title  actor  or director.,F,the website will allow customers to search for movies by title  actor  or director,0
447,viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,F,viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator,0
448,Website shall request  and authorize credit card payment before allowing a user to stream a movie.,F,website shall request  and authorize credit card payment before allowing a user to stream a movie,0
449,shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,F,shall be able to stream purchased movie via windows media player  for up to 2 days aftere purchase date,0
450,Website shall allow customers to browse movies by categories entered in by izogn administrator.,F,website shall allow customers to browse movies by categories entered in by izogn administrator,0
451,Website shall allow customers to view reviews of selected movies by other customers.,F,website shall allow customers to view reviews of selected movies by other customers,0
452,Website shall allow customers to add their own movie review for a selected movie.,F,website shall allow customers to add their own movie review for a selected movie,0
453,Website shall allow the Izogn administrator to approve a review posted by a customer.,F,website shall allow the izogn administrator to approve a review posted by a customer,0
454,System will allow customers to pay for a streaming movie with a pre-paid card.,F,system will allow customers to pay for a streaming movie with a prepaid card,0
455,Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,F,website shall allow customers to purchase prepaid cards of 5  10  or 20 value either by credit card or mailin payment option,0
456,System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.,F,system shall automatically update the main page of the website every friday  and show the 4 latest movies that have been added to the website,0
457,System shall allow users to update their billing and contact information via the 'My Account' section of the website.,F,system shall allow users to update their billing and contact information via the my account section of the website,0
458,Pre-paid cards shall be distributed via email  or via a printed paper card.,F,prepaid cards shall be distributed via email  or via a printed paper card,0
459,Only registered customers can purchase streaming movies.,F,only registered customers can purchase streaming movies,0
460,Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,F,movies can only be streamed if the customer has purchased a movie  and is within the 2day time period to stream the movie,0
461,Website must be able to support free trial periods with various parameters set by the Izogn Manager.,F,website must be able to support free trial periods with various parameters set by the izogn manager,0
462,All streaming movie sales will be logged in the database  and accessible by the administrator.,F,all streaming movie sales will be logged in the database  and accessible by the administrator,0
463,All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,F,all registered customer information shall be stored and maintained in the database  even after the customer cancels their account,0
464,Daily usage statistics should be logged  and accessible by the administrator.,F,daily usage statistics should be logged  and accessible by the administrator,0
465,The owner shall have free access to all of the streaming movies.,F,the owner shall have free access to all of the streaming movies,0
466,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PE,total lead cycle time must be completed in 5 minutes for 90 of lead volume between the business hours of 8am cst to 8pm cst then 3 minutes for 99 of lead volume during off business hours,4
467,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PE,no lead evaluation will complete in a time period longer than 25 seconds for 97 of all leads processed,4
468,For leads that process longer than 25 seconds the system will record the event and duration,PE,for leads that process longer than 25 seconds the system will record the event and duration,4
469,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PE,the process must fit within the processing time conditions set forth by the auto rep assignment process in which a lead is assigned within 3 minutes of the total life cycle,4
470,The lead washing process will operate within the established physical web service structure.,O,the lead washing process will operate within the established physical web service structure,2
471,The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,O,the washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data,2
472,Defect reports will be available to technical units on a 24x7 basis.,Other,defect reports will be available to technical units on a 24x7 basis,3
473,Washing parameters will be updated during scheduled maintenance hours.,Other,washing parameters will be updated during scheduled maintenance hours,3
474,The vendor will verify the invalid lead.,F,the vendor will verify the invalid lead,0
475,Vendor will submit a credit validation record to be applied to the enterprise billing system.,F,vendor will submit a credit validation record to be applied to the enterprise billing system,0
476,If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,F,if a lead is scored to the high range the system will supply the lead data and score to the enterprise system,0
477,The leads washing functionality will validate all leads received by the web service for valid data,F,the leads washing functionality will validate all leads received by the web service for valid data,0
478,The leads washing functionality will insert all leads captured by the web service.,F,the leads washing functionality will insert all leads captured by the web service,0
479,If the leads score falls within the high average score then it will be process by the ARA functionality.,F,if the leads score falls within the high average score then it will be process by the ara functionality,0
480,If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,F,if the leads score falls within the medium average then it will be set for manual verification by an enrollment coordinator through the eleads system,0
481,If the leads score falls within the low average then it will be returned to the supplying vendor,F,if the leads score falls within the low average then it will be returned to the supplying vendor,0
482,The leads washing functionality will compile both contact and academic scoring information for a total score.,F,the leads washing functionality will compile both contact and academic scoring information for a total score,0
483,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,F,the leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead,0
484,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,F,the leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection,0
485,The leads washing functionality will have an interface in which lead data parameters can be maintained.,F,the leads washing functionality will have an interface in which lead data parameters can be maintained,0
486,The leads washing functionality will verify the users authentication and rights to make parameter updates.,F,the leads washing functionality will verify the users authentication and rights to make parameter updates,0
487,The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,F,the leads washing functionality will store any potential lead duplicates returned by the enterprise system,0
488,Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,F,prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep,0
489,The leads washing functionality shall receive a period list of available reps from the enterprise system.,F,the leads washing functionality shall receive a period list of available reps from the enterprise system,0
490,The product shall simulate the look of ships at sea.,LF,the product shall simulate the look of ships at sea,1
491,The product shall display the grids within a circle as a view from a periscope.,LF,the product shall display the grids within a circle as a view from a periscope,1
492,The product shall display each type of ship in a grid using an image of the specific type of ship.,LF,the product shall display each type of ship in a grid using an image of the specific type of ship,1
493,When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,LF,when the offensive player takes a shot  the product shall simulate the sound of a ship at sea,1
494,When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.,LF,when a shot is marked as a miss  the product shall simulate the sound of a shot missing its target,1
495,When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,LF,when a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target,1
496,When a ship is sunk  the product shall simulate the sound of a sinking ship.,LF,when a ship is sunk  the product shall simulate the sound of a sinking ship,1
497,The product shall be available 24 hours per day  seven days per week.,Other,the product shall be available 24 hours per day  seven days per week,3
498,The product shall able to handle a large number of games simultaneously.,PE,the product shall able to handle a large number of games simultaneously,4
499,The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PE,the response time shall be fast enough to maintain the flow of the game  the response time shall be no more than 2 seconds for 95 of responses and no more than 4 for the remaining responses,4
500,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PE,the product shall protect the identity of the players the product shall provide players no access to information that might reveal the identity of another player,4
501,The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,US,the product shall be intuitive and selfexplanatory  nine out ten users shall be able to successfully complete a game with no training,6
502,The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,US,the product shall be available to players who understand english  spanish and french  the product shall allow the user to select the language upon accessing the product,6
503,The product shall provide players no access to information that might reveal the identity of another player,SE,the product shall provide players no access to information that might reveal the identity of another player,5
504,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PE,the response time shall be fast enough to maintain the flow of the game the response time shall be no more than 2 seconds for 95 of responses and no more than 4 for the remaining responses,4
505,The product shall maintain a list of players.,F,the product shall maintain a list of players,0
506,The product shall allow a user to identify himself or herself as a player.,F,the product shall allow a user to identify himself or herself as a player,0
507,Once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players.,F,once a game has been initiated  the product shall make the players assigned to the game unavailable for selection from the list of players,0
508,The product shall allow a user to remove himself or herself from the list of players at any time.,F,the product shall allow a user to remove himself or herself from the list of players at any time,0
509,The product shall make inactive players unavailable for selection from the list of players.,F,the product shall make inactive players unavailable for selection from the list of players,0
510,The product shall remove players who have been inactive for 24 hours from the list of players.,F,the product shall remove players who have been inactive for 24 hours from the list of players,0
511,The product shall allow a player to initiate a game by selecting another available player from the list of players.,F,the product shall allow a player to initiate a game by selecting another available player from the list of players,0
512,Once a game is initiated  the product shall display a defensive grid to each player,F,once a game is initiated  the product shall display a defensive grid to each player,0
513,Once a game is initiated  the product shall display an offensive grid to each player.,F,once a game is initiated  the product shall display an offensive grid to each player,0
514,The product shall prevent a player from viewing the offensive or defensive grids of the other player.,F,the product shall prevent a player from viewing the offensive or defensive grids of the other player,0
515,Once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids.,F,once a game is initiated  the product shall allow each player to position their 5 ships on their respective defensive grids,0
516,The product shall allow a player to position ships horizontally on their grid.,F,the product shall allow a player to position ships horizontally on their grid,0
517,The product shall allow the player to position ships vertically on their grid.,F,the product shall allow the player to position ships vertically on their grid,0
518,The product shall allow the player to position ships diagonally on their grid,F,the product shall allow the player to position ships diagonally on their grid,0
519,The product shall prevent the player from overlapping ships on their grid.,F,the product shall prevent the player from overlapping ships on their grid,0
520,When both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn.,F,when both players have positioned their 5 ships on their defensive grids  the product shall define the status of each player for the first turn,0
521,For each turn  the product shall identify one player as offensive status and one player as defensive status.,F,for each turn  the product shall identify one player as offensive status and one player as defensive status,0
522,The product shall maintain the status of each player for a turn  either offensive or defensive.,F,the product shall maintain the status of each player for a turn  either offensive or defensive,0
523,At the start of each turn  the product shall notify each player of his or her status.,F,at the start of each turn  the product shall notify each player of his or her status,0
524,For each turn  the product shall allow the offensive player to define a shot.,F,for each turn  the product shall allow the offensive player to define a shot,0
525,For each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss.,F,for each shot  the product shall examine the defensive grid of the defensive player to determine whether the shot was a hit or miss,0
526,For each shot  the product shall notify the players whether the shot was a hit or miss.,F,for each shot  the product shall notify the players whether the shot was a hit or miss,0
527,For each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player.,F,for each shot  the product shall mark the shot as a hit or miss on the defensive grid of the defensive player,0
528,For each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player.,F,for each shot  the product shall mark the shot as a hit or miss on the offensive grid of the offensive player,0
529,When the hit results in sinking a ship  the product shall notify the players that the ship was sunk.,F,when the hit results in sinking a ship  the product shall notify the players that the ship was sunk,0
530,When the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player.,F,when the hit results in sinking a ship  the product shall mark the ship as sunk on the defensive grid of the defensive player,0
531,When the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player.,F,when the hit results in sinking a ship  the product shall indicate the type of ship sunk on the defensive grid of the defensive player,0
532,When the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player.,F,when the hit results in sinking a ship  the product shall mark the ship as sunk on the offensive grid of the offensive player,0
533,If the shot was marked as a hit  the product shall allow the offensive player to define a shot.,F,if the shot was marked as a hit  the product shall allow the offensive player to define a shot,0
534,If the shot was marked as a miss  the product shall change the status of the offensive player to defensive,F,if the shot was marked as a miss  the product shall change the status of the offensive player to defensive,0
535,If the shot was marked as a miss  the product shall change the status of the defensive player to offensive,F,if the shot was marked as a miss  the product shall change the status of the defensive player to offensive,0
536,The product shall continue to assign turns until the game is ended.,F,the product shall continue to assign turns until the game is ended,0
537,The product shall end a game when a hit by the offensive player results in sinking the last of the defensive player's ships  which had not been previously marked as sunk.,F,the product shall end a game when a hit by the offensive player results in sinking the last of the defensive players ships  which had not been previously marked as sunk,0
538,The product shall allow a player to end a game at any time during the game.,F,the product shall allow a player to end a game at any time during the game,0
539,When a game is ended  the product shall notify the players that the game is ended.,F,when a game is ended  the product shall notify the players that the game is ended,0
540,The notification of the game ending will include the reason the game is ended (i.e.  a player has won the game or a player has ended the game).,F,the notification of the game ending will include the reason the game is ended ie  a player has won the game or a player has ended the game,0
541,When a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players.,F,when a game is ended  the product shall allow each player to identify himself or herself as an available player in the list of players,0
542,When a game is ended  the product shall allow each player to remove himself or herself from the list of players.,F,when a game is ended  the product shall allow each player to remove himself or herself from the list of players,0
543,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,US,the system shall be easy to use by callers and supervisors callers and supervisors must be able to accomplish any system task within 2 minutes,6
544,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,US,the system shall be easy to learn by callers and supervisors callers and supervisors shall learn how to use the system within 10 minutes,6
545,The system shall be responsive. At the DePaul TeleServices Center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PE,the system shall be responsive at the depaul teleservices center  when a supervisor uses the system to view a callers schedule  the system response time must be no more than 2 seconds 90 of the time and no more than 5 seconds the rest of the time,4
546,On a 56k connection  the system response time for all operations must be no more than 6 seconds 90% of the time.,PE,on a 56k connection  the system response time for all operations must be no more than 6 seconds 90 of the time,4
547,On a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90% of the time.,PE,on a 112k connection or faster  the system response time for all operations must be no more than 3 seconds 90 of the time,4
548,The system shall have high availability every day of the year.The system must be available for use between 12:00AM and 6:00PM all days of the year.,Other,the system shall have high availability every day of the yearthe system must be available for use between 1200am and 600pm all days of the year,3
549,The system must be available for use between 7:00AM and 11:59PM all days of the year.,Other,the system must be available for use between 700am and 1159pm all days of the year,3
550,The product shall be internet browser independent.The product must run using Internet Explorer and Netscape Navigator.,Other,the product shall be internet browser independentthe product must run using internet explorer and netscape navigator,3
551,The product shall ensure that only supervisors can advertise empty time slots.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE,the product shall ensure that only supervisors can advertise empty time slotsthe product must ensure that supervisors are allowed to access advertise empty time slots,5
552,The product shall ensure that only supervisors can enter a caller's schedule.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE,the product shall ensure that only supervisors can enter a callers schedulethe product must ensure that supervisors are allowed to access advertise empty time slots,5
553,The product shall ensure that only supervisors can view schedule of all callers.The product must ensure that supervisors are allowed to access advertise empty time slots.,SE,the product shall ensure that only supervisors can view schedule of all callersthe product must ensure that supervisors are allowed to access advertise empty time slots,5
554,The interface shall have a simple look. In the interface and usability survey  90% of beta testers must report that the interface is adequately simple.,LF,the interface shall have a simple look in the interface and usability survey  90 of beta testers must report that the interface is adequately simple,1
555,The interface shall be appealing to callers and supervisors. In the interface and usability survey  80% of beta testers must report that the interface is appealing.,LF,the interface shall be appealing to callers and supervisors in the interface and usability survey  80 of beta testers must report that the interface is appealing,1
556,The product shall provide GUI based Monitoring Services.System Administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support.,LF,the product shall provide gui based monitoring servicessystem administrators shall monitor message exchanges will predict and determine problems and will also provide internal and external support,1
557,The product shall comply with City of Chicago Application Development Guide Framework.Application Development Framework will provide structured Graphical User Interface.,LF,the product shall comply with city of chicago application development guide frameworkapplication development framework will provide structured graphical user interface,1
558,The product shall provide Monitoring Services.The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,US,the product shall provide monitoring servicesthe product shall be easy for system administrators and dbas to use after two weeks of usage,6
559,The product shall provide Error Tracking Services.The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,US,the product shall provide error tracking servicesthe product shall help the system administrators and dbas to resolve transaction errors 99 of the time,6
560,The product shall provide Portals.The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),US,the product shall provide portalsthe product shall help system administrators to analyze the transactions with adhoc reporting and kpis key performance indicators,6
561,The product shall provide Asynchronous Messaging.The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,PE,the product shall provide asynchronous messagingthe product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,4
562,The product shall provide Multi-threading and Load Balancing.The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,PE,the product shall provide multithreading and load balancingthe product shall provide multithreading technology as well as load balancing to overcome data load spikes and traffic,4
563,The product shall process messages within 2 seconds.The product shall have a maximum message processing time of 2 seconds,PE,the product shall process messages within 2 secondsthe product shall have a maximum message processing time of 2 seconds,4
564,The product shall poll the system for messages every second.The product shall poll the system for new messages at a maximum of every 1 second.,PE,the product shall poll the system for messages every secondthe product shall poll the system for new messages at a maximum of every 1 second,4
565,The product shall provide Dynamic Change Support and Transparent resource addition.The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,PE,the product shall provide dynamic change support and transparent resource additionthe product shall support transparent resource addition and dynamic change support to provide scalability and avoid service interruptions of more than 1 day,4
566,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,Other,the product shall be available 99 of the time rationale to avoid service interruption during busiest customer service response periods the product shall be available 9999 of the time for regular business days,3
567,The product shall be robust.The product shall have fault avoidance based on standards adoption.,Other,the product shall be robustthe product shall have fault avoidance based on standards adoption,3
568,The product shall be robust with fault tolerance.The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,Other,the product shall be robust with fault tolerancethe product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures,3
569,The product shall be able to process all transactions.The product shall process minimum of 1 million transactions per year.,Other,the product shall be able to process all transactionsthe product shall process minimum of 1 million transactions per year,3
570,The product shall be platform independent.The product shall enable access to any type of development environment and platform.,O,the product shall be platform independentthe product shall enable access to any type of development environment and platform,2
571,The product shall interface CSR and Datastream.The product shall exchange messages between CSR and EAM on a real time basis without any direct interfaces between two systems.,O,the product shall interface csr and datastreamthe product shall exchange messages between csr and eam on a real time basis without any direct interfaces between two systems,2
572,: The product shall continue to operate during upgrade  change or new resource addition.The product shall be able to continue to operate with no interruption in service due to new resource additions.,Other, the product shall continue to operate during upgrade  change or new resource additionthe product shall be able to continue to operate with no interruption in service due to new resource additions,3
573,The product shall be updated on a regular basis.The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,Other,the product shall be updated on a regular basisthe product will have a new major feature introduced every six months and quarterly maintenance releases every six months,3
574,The product shall operate with every platform.The product shall accommodate any new technology without any change in its architecture.,Other,the product shall operate with every platformthe product shall accommodate any new technology without any change in its architecture,3
575,The product shall have security.The product shall provide authentication  and authorization.,SE,the product shall have securitythe product shall provide authentication  and authorization,5
576,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,SE,the product shall information security the product shall enable privacy by encryption wssecurity and integrity checking,5
577,The product shall have audit capabilities.The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,SE,the product shall have audit capabilitiesthe product shall store messages for a minimum of one year for audit and transaction tracking purposes,5
578,The system shall use IBM and CCR branding standards. The interface must have one IBM logo and one CCR logo.,LF,the system shall use ibm and ccr branding standards the interface must have one ibm logo and one ccr logo,1
579,The system shall be displayable on any work computer a CCR user may have. The system interface shall be formatted to display at 800 by 600 pixel resolution.,LF,the system shall be displayable on any work computer a ccr user may have the system interface shall be formatted to display at 800 by 600 pixel resolution,1
580,The system interface will use CCR nomenclature. The system must use the same nomenclature used in the existing WCS system and reports,LF,the system interface will use ccr nomenclature the system must use the same nomenclature used in the existing wcs system and reports,1
581,The interface must summarize the data in a fashion that's appealing to CCR management. Every report type must have at least one high level summary shown in the results dashboard/interface,LF,the interface must summarize the data in a fashion thats appealing to ccr management every report type must have at least one high level summary shown in the results dashboardinterface,1
582,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,US,the system must use a point and click interface 100 of all selection and navigation functionality must be able to be activatedselected by either a mouse or a keyboard,6
583,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,US,the interface shall be easy to use 90 of users should be able to successfully use the system to generate a report on their first use the interface should adhere to ibm usability standards,6
